,Districts,id
418,Sirajganj,Sirajganj-2
419,Sirajganj,Sirajganj-3
420,Sirajganj,Sirajganj-4
421,Sirajganj,Sirajganj-5
422,Sirajganj,Sirajganj-6
423,Sirajganj,Sirajganj-7
424,Sirajganj,Sirajganj-8
425,Sirajganj,Sirajganj-9
426,Sunamganj,Sunamganj-1
427,Sunamganj,Sunamganj-2
428,Sunamganj,Sunamganj-3
429,Sunamganj,Sunamganj-4
430,Sunamganj,Sunamganj-5
431,Sunamganj,Sunamganj-6
432,Sunamganj,Sunamganj-7
433,Sunamganj,Sunamganj-8
434,Sunamganj,Sunamganj-9
435,Sunamganj,Sunamganj-10
436,Sylhet,Sylhet-1
437,Sylhet,Sylhet-2
438,Sylhet,Sylhet-3
439,Sylhet,Sylhet-4
440,Sylhet,Sylhet-5
441,Sylhet,Sylhet-6
442,Sylhet,Sylhet-7
443,Sylhet,Sylhet-8
444,Sylhet,Sylhet-9
445,Sylhet,Sylhet-10
446,Sylhet,Sylhet-11
447,Tangail,Tangail-1
448,Tangail,Tangail-2
449,Tangail,Tangail-3
450,Tangail,Tangail-4
451,Tangail,Tangail-5
452,Tangail,Tangail-6
453,Tangail,Tangail-7
454,Tangail,Tangail-8
455,Tangail,Tangail-9
456,Tangail,Tangail-10
457,Tangail,Tangail-11
458,Thakurgaon,Thakurgaon-1
459,Thakurgaon,Thakurgaon-2
460,Thakurgaon,Thakurgaon-3
461,Thakurgaon,Thakurgaon-4
462,Thakurgaon,Thakurgaon-5
