Districts,id,cases,Population,Ratio
Naogaon,Naogaon-9,844,2844000,0.000296765
Naogaon,Naogaon-10,844,2844000,0.000296765
Naogaon,Naogaon-11,844,2844000,0.000296765
Narail,Narail-1,524,801000,0.000654182
Narail,Narail-2,524,801000,0.000654182
Narail,Narail-3,524,801000,0.000654182
Narayanganj,Narayanganj-1,5795,3284000,0.001764616
Narayanganj,Narayanganj-2,5795,3284000,0.001764616
Narayanganj,Narayanganj-3,5795,3284000,0.001764616
Narayanganj,Narayanganj-4,5795,3284000,0.001764616
Narayanganj,Narayanganj-5,5795,3284000,0.001764616
Narsingdi,Narsingdi-1,1790,2489000,0.000719164
Narsingdi,Narsingdi-2,1790,2489000,0.000719164
Narsingdi,Narsingdi-3,1790,2489000,0.000719164
Narsingdi,Narsingdi-4,1790,2489000,0.000719164
Narsingdi,Narsingdi-5,1790,2489000,0.000719164
Narsingdi,Narsingdi-6,1790,2489000,0.000719164
Natore,Natore-1,387,1866000,0.000207395
Natore,Natore-2,387,1866000,0.000207395
Natore,Natore-3,387,1866000,0.000207395
Natore,Natore-4,387,1866000,0.000207395
Natore,Natore-5,387,1866000,0.000207395
Natore,Natore-6,387,1866000,0.000207395
Nawabganj,Nawabganj-1,318,1854000,0.000171521
Nawabganj,Nawabganj-2,318,1854000,0.000171521
Nawabganj,Nawabganj-3,318,1854000,0.000171521
Nawabganj,Nawabganj-4,318,1854000,0.000171521
Nawabganj,Nawabganj-5,318,1854000,0.000171521
Netrakona,Netrakona-1,600,2516000,0.000238474
Netrakona,Netrakona-2,600,2516000,0.000238474
Netrakona,Netrakona-3,600,2516000,0.000238474
Netrakona,Netrakona-4,600,2516000,0.000238474
Netrakona,Netrakona-5,600,2516000,0.000238474
Netrakona,Netrakona-6,600,2516000,0.000238474
Netrakona,Netrakona-7,600,2516000,0.000238474
Netrakona,Netrakona-8,600,2516000,0.000238474
Netrakona,Netrakona-9,600,2516000,0.000238474
Netrakona,Netrakona-10,600,2516000,0.000238474
